,Top_positvely_correlated,Top_negatively_correlated
FN1,"['COL1A1', 'COL3A1', 'COL1A2', 'SPARC', 'TIMP3', 'COL5A1', 'COL6A3', 'LUM', 'THBS2', 'MMP2', 'AEBP1', 'COL6A2', 'TAGLN', 'SFRP4', 'VCAN', 'VIM', 'COMP', 'COL5A2', 'SULF1', 'TNC', 'COL11A1', 'ELN', 'IGFBP3', 'CTHRC1', 'COL12A1', 'IGFBP7', 'CALD1', 'THBS1', 'TIMP2', 'LGALS1']","['LCN2', 'PIGR', 'PI3', 'FCGBP', 'TSPAN1', 'MUC2', 'AGR2', 'CLCA1', 'OLFM4', 'SLC26A3', 'JCHAIN', 'CEACAM7', 'KRT20', 'CKB', 'SPINK4', 'CA2', 'TFF3', 'DUOX2', 'ZG16', 'IGKC', 'MS4A12', 'PLA2G2A', 'PLAC8', 'SELENOP', 'SOD2', 'DMBT1', 'REG4', 'KLF4', 'ITLN1', 'IGHA1']"
IGFBP5,"['SPARC', 'COL3A1', 'COL1A1', 'COL1A2', 'VIM', 'TIMP3', 'IGFBP3', 'LUM', 'MMP2', 'IGFBP7', 'COL5A1', 'LGALS1', 'COL6A2', 'TIMP1', 'COL6A3', 'DCN', 'AEBP1', 'TIMP2', 'VCAN', 'SFRP4', 'CALD1', 'HTRA3', 'CTHRC1', 'C1S', 'TAGLN', 'COMP', 'THBS2', 'SULF1', 'THY1', 'FSTL1']","['LCN2', 'PI3', 'CKB', 'PIGR', 'TSPAN1', 'FCGBP', 'SLC26A3', 'CEACAM7', 'AGR2', 'KRT20', 'MUC2', 'SOD2', 'MS4A12', 'DUOX2', 'CLCA1', 'PCP4', 'ZG16', 'CXCL8', 'CA2', 'DMBT1', 'PLAC8', 'TFF3', 'GUCA2A', 'MT1G', 'SPINK4', 'CA4', 'OLFM4', 'CLCA4', 'MT1X', 'KLF4']"
TNS1,"['DES', 'MYH11', 'TAGLN', 'MYL9', 'ACTG2', 'SYNPO2', 'CALD1', 'MYLK', 'SYNM', 'TPM2', 'CSRP1', 'CNN1', 'TPM1', 'PPP1R12B', 'SORBS1', 'FLNA', 'ACTA2', 'TNC', 'PLN', 'RASSF3', 'LMOD1', 'MAB21L2', 'CHRDL2', 'SMTN', 'PALLD', 'PRUNE2', 'SPARCL1', 'AKAP12', 'ZEB1', 'COL6A2']","['FABP1', 'PIGR', 'PI3', 'FCGBP', 'AGR2', 'TSPAN1', 'MUC2', 'OLFM4', 'CEACAM7', 'CLCA1', 'KRT20', 'SLC26A3', 'SPINK4', 'CA2', 'DUOX2', 'TFF3', 'MS4A12', 'JCHAIN', 'DMBT1', 'ZG16', 'PLAC8', 'PLAUR', 'KLF4', 'APOBR', 'REG4', 'ITLN1', 'SELENOP', 'LITAF', 'MT1X', 'GUCA2A']"
CXCR2,"['S100A9', 'OSM', 'S100A8', 'CXCL8', 'G0S2', 'SRGN', 'IL1B', 'BCL2A1', 'SELL', 'CSF3R', 'AQP9', 'PLEK', 'FPR1', 'NAMPT', 'PTGS2', 'FPR2', 'IL1RN', 'VNN2', 'PLAUR', 'MNDA', 'DUSP1', 'SOD2', 'HCAR3', 'PDE4B', 'RGS2', 'LITAF', 'CREB5', 'ZFP36', 'SPI1', 'NCF2']","['TAGLN', 'DES', 'CSRP1', 'FABP1', 'PIGR', 'MYH11', 'MYL9', 'LPP', 'GREM1', 'FN1', 'SORBS1', 'AGR2', 'SORBS2', 'CCDC80', 'PLA2G2A', 'MGP', 'PCP4', 'FCGBP', 'CLCA1', 'AEBP1', 'SFRP4', 'SFRP2', 'PPP1R12B', 'SULF1', 'ACTG2', 'MT1X', 'MYLK', 'CTHRC1', 'CKB', 'TIMP3']"
SLC11A1,"['SPP1', 'SRGN', 'S100A8', 'LYZ', 'S100A9', 'IFI30', 'CTSB', 'APOE', 'IL1RN', 'CXCL8', 'SPI1', 'ITGAX', 'IL1B', 'LAPTM5', 'HK3', 'TYROBP', 'OSM', 'G0S2', 'PLAUR', 'FCER1G', 'TREM1', 'VNN2', 'CD68', 'MARCO', 'AQP9', 'PSAP', 'OLR1', 'NCF2', 'ALOX5', 'CSF3R']","['PIGR', 'LCN2', 'FCGBP', 'AGR2', 'MUC2', 'CLCA1', 'CKB', 'TSPAN1', 'PPP1R12B', 'TPM1', 'OLFM4', 'SPINK4', 'KRT20', 'DES', 'CEACAM7', 'CSRP1', 'PGM5', 'SORBS1', 'SLC26A3', 'MYLK', 'TFF3', 'PCP4', 'MS4A12', 'FHL2', 'PRUNE2', 'DUOX2', 'SLMAP', 'CA2', 'ZG16', 'PLA2G2A']"
CTDSP1,"['VIM', 'COL3A1', 'PIGR', 'FCGBP', 'COL4A1', 'SPARC', 'IGFBP7', 'COL1A1', 'A2M', 'COL1A2', 'COL6A2', 'MUC2', 'LGALS1', 'COL5A1', 'COL4A2', 'PECAM1', 'CD74', 'ENG', 'COL6A1', 'PLVAP', 'COL6A3', 'COL18A1', 'EPAS1', 'VCAN', 'TSPAN1', 'SELENOP', 'CLCA1', 'F3', 'CA2', 'SLCO2A1']","['HBA2', 'SPP1', 'AOX1', 'OSM', 'DES', 'G0S2', 'SORBS1', 'IL1RN', 'XKR4', 'SMPX', 'MYOCD', 'HCAR3', 'CPB1', 'GLT1D1', 'NRXN1', 'CCDC9B', 'HBB', 'SEMA3E', 'MORN5', 'PLA2G2C', 'FGF2', 'NRXN3', 'MYH11', 'SMYD1', 'SCN1A', 'TCEAL2', 'PSD', 'OR5AU1', 'AQP9', 'SIGLEC1']"
PLCD4,"['DES', 'KCNH2', 'CASQ2', 'RPRM', 'MYLK', 'ACTG2', 'TAGLN', 'SMTN', 'SYNM', 'VIT', 'MSRB3', 'MYH11', 'MYL9', 'FXYD6', 'C7', 'RBMS1', 'LAMA5', 'CTRB2', 'TNC', 'PCBP3', 'CNN1', 'KIZ', 'GBP1', 'ITGA5', 'PSD', 'PGM5', 'NAGK', 'RHOB', 'TACR2', 'SLC25A4']","['LCN2', 'ITGB5', 'SKI', 'PI3', 'SOD2', 'PLXND1', 'SFRP4', 'MFAP2', 'PDGFRB', 'RUNX1', 'HIPK3', 'ISG20', 'TNFAIP3', 'TIMP3', 'PIM1', 'IGHG3', 'KLF4', 'BGN', 'ID3', 'KRT20', 'S100A4', 'C1orf21', 'RAB27A', 'NREP', 'CTSK', 'MMP14', 'COL18A1', 'DUOX2', 'HEXIM1', 'SMIM14']"
PTPRN,"['VIP', 'TAC1', 'SCG2', 'PRPH', 'SST', 'PLP1', 'CPLX2', 'NSG2', 'STMN2', 'GAP43', 'L1CAM', 'CHRNA3', 'CALY', 'CHGB', 'TUBB2B', 'CHGA', 'DOCK2', 'MAP1B', 'NGFR', 'LRRC4C', 'SPTBN4', 'CADM3', 'TUBB2A', 'SHANK1', 'SNCA', 'TCIRG1', 'TMEM59L', 'ANK2', 'SNCG', 'SH2B3']","['PI3', 'HSPB1', 'SELENOP', 'LCN2', 'FCGBP', 'SRGN', 'CXCL14', 'SOD2', 'SLMAP', 'PPP1R12B', 'SOCS3', 'TSPAN1', 'PLTP', 'CRIM1', 'ZYX', 'LYZ', 'F3', 'SULF1', 'AGR2', 'TNFAIP3', 'LAPTM5', 'IFI30', 'SEPTIN11', 'SORBS2', 'MYOF', 'MUC2', 'RAP1A', 'SFRP4', 'WIPF1', 'CNN2']"
DES,"['MYH11', 'TAGLN', 'ACTG2', 'MYL9', 'SYNPO2', 'MYLK', 'CSRP1', 'SYNM', 'CNN1', 'TPM2', 'PPP1R12B', 'CALD1', 'TPM1', 'SORBS1', 'FLNA', 'TNS1', 'PLN', 'CHRDL2', 'LMOD1', 'SMTN', 'PRUNE2', 'MAB21L2', 'TNC', 'KCNMA1', 'ACTA2', 'RASSF3', 'AKAP12', 'PALLD', 'PCP4', 'HSPB6']","['LCN2', 'PI3', 'PIGR', 'COL1A1', 'CXCL14', 'AGR2', 'TIMP3', 'FCGBP', 'SPARC', 'TSPAN1', 'F3', 'MMP12', 'CD55', 'MMP2', 'COL1A2', 'OLFM4', 'MUC2', 'IGFBP3', 'PLAUR', 'MMP11', 'SGK1', 'LITAF', 'JCHAIN', 'SLC26A3', 'CRIP1', 'CEACAM7', 'SFRP4', 'IFI30', 'KRT20', 'APOBR']"
SPEG,"['DES', 'MYH11', 'ACTG2', 'TAGLN', 'MYL9', 'MYLK', 'CSRP1', 'TPM2', 'CNN1', 'SYNPO2', 'SYNM', 'SMTN', 'FLNA', 'PLN', 'TPM1', 'PPP1R12B', 'CHRDL2', 'ACTA2', 'TNC', 'SORBS1', 'CALD1', 'PRUNE2', 'TNS1', 'LMOD1', 'SPARCL1', 'LIMS2', 'MARCOL', 'KCNMA1', 'ITGA5', 'KCNMB1']","['FABP1', 'PI3', 'PIGR', 'FCGBP', 'SPARC', 'CXCL14', 'AGR2', 'TSPAN1', 'F3', 'IFI30', 'MMP12', 'MUC2', 'OLFM4', 'JCHAIN', 'LUM', 'SELENOP', 'TIMP3', 'SLC26A3', 'CEACAM7', 'EMP1', 'IGFBP3', 'KRT20', 'SPINK4', 'APOBR', 'MMP2', 'TFF3', 'PLAUR', 'S100A9', 'CA2', 'DUOX2']"
SPEGNB,"['FILIP1', 'OSMR', 'KLHL5', 'TAC1', 'CNKSR3', 'SPEG', 'EPHA6', 'CACNA1H', 'SPTBN4', 'APOL2', 'CTSK', 'MAGEH1', 'SEC14L1', 'RAMP1', 'KCTD12', 'HSPA2', 'C1R', 'COMP', 'ACTG2', 'PTPN21', 'CYTH4', 'BCL2L2', 'VCL', 'ADH1B', 'CILP', 'FAM193B', 'SAMD4A', 'GUCY1A1', 'C1QTNF7', 'SYNE1']","['CD55', 'ZYX', 'MBNL1', 'CAPN2', 'SOCS3', 'SLAIN2', 'SEPTIN11', 'ARRDC3', 'GUK1', 'LAMA4', 'RAB27A', 'COL5A2', 'MMP12', 'SAMHD1', 'CCDC92', 'FN1', 'SULF2', 'PARVA', 'FBLN1', 'CXCL14', 'NDST1', 'LAMB2', 'LBH', 'ATP6V1B2', 'KLF4', 'TIMP1', 'CDH11', 'COL15A1', 'RUNX1', 'C1orf21']"
KCNE4,"['COL3A1', 'COL1A1', 'COL1A2', 'SPARC', 'TAGLN', 'ACTA2', 'AEBP1', 'MMP2', 'COL6A2', 'COL5A1', 'THBS1', 'COL6A3', 'LUM', 'COL4A1', 'THBS2', 'CALD1', 'COL12A1', 'C1R', 'CCN1', 'CCN2', 'ELN', 'VCAN', 'IGFBP3', 'SFRP4', 'TIMP2', 'VIM', 'C1S', 'IGFBP7', 'DCN', 'COL5A2']","['LCN2', 'PI3', 'PIGR', 'TSPAN1', 'FCGBP', 'SLC26A3', 'AGR2', 'CEACAM7', 'KRT20', 'MUC2', 'DUOX2', 'CLCA1', 'ZG16', 'MS4A12', 'DMBT1', 'MT1X', 'CKB', 'OLFM4', 'PLAC8', 'CA2', 'CXCL8', 'SOD2', 'PLAUR', 'CA4', 'SELENOP', 'TFF3', 'GUCA2A', 'MXD1', 'S100A9', 'MT1G']"
SCG2,"['VIP', 'TAC1', 'CHGA', 'CHGB', 'PTPRN', 'PRPH', 'NSG2', 'SST', 'GAP43', 'STMN2', 'L1CAM', 'CHRNA3', 'TMEM59L', 'CPLX2', 'TUBB2B', 'MAP1B', 'NGFR', 'SFRP2', 'PYY', 'COL3A1', 'MGP', 'MMP2', 'COL14A1', 'COL1A1', 'COL1A2', 'GREM1', 'THY1', 'AKAP12', 'CLU', 'ANK2']","['PI3', 'LCN2', 'CXCL14', 'SORBS2', 'COTL1', 'MMP12', 'CSF2RA', 'F3', 'KIZ', 'KIF1C', 'PGM5', 'MMP9', 'IL1RN', 'PLAU', 'CKB', 'CD300A', 'DDIT4', 'HMOX1', 'DES', 'RGS1', 'LIPA', 'CXCL8', 'MYH11', 'SPP1', 'PLVAP', 'CXCL9', 'SLMAP', 'SP110', 'LPP', 'RHOB']"
WDFY1,"['VIM', 'COL1A1', 'SPARC', 'COL3A1', 'COL1A2', 'COL4A1', 'COL5A1', 'LGALS1', 'IGFBP7', 'IGFBP3', 'LUM', 'MMP2', 'COL6A2', 'AEBP1', 'COL4A2', 'CD74', 'COL12A1', 'DCN', 'VCAN', 'CCN2', 'COL5A2', 'FSTL1', 'ENG', 'CTHRC1', 'COL6A3', 'TIMP2', 'CCN1', 'CTSB', 'THBS2', 'TIMP3']","['SYNM', 'MYH11', 'PCP4', 'HBB', 'SYNPO2', 'HBA2', 'IGKC', 'SORBS2', 'MARCOL', 'IGHG1', 'MZB1', 'ACTC1', 'PRUNE2', 'HAND1', 'SORBS1', 'MASP1', 'RASSF3', 'SLMAP', 'MAB21L2', 'DTNA', 'PROK2', 'PRSS1', 'CPXM2', 'PPP1R12B', 'PSD', 'CNN1', 'LMOD1', 'HSPB6', 'PRNP', 'IGHM']"
SERPINE2,"['COL1A1', 'COL3A1', 'COL1A2', 'MMP2', 'LUM', 'C3', 'SFRP2', 'COL6A3', 'SPARC', 'DCN', 'MGP', 'TIMP3', 'AEBP1', 'SFRP4', 'COL5A1', 'THBS2', 'VCAN', 'COL6A2', 'FBLN1', 'C1S', 'COMP', 'IGFBP3', 'CCDC80', 'C1R', 'VIM', 'TIMP1', 'ELN', 'FSTL1', 'FBN1', 'SULF1']","['LCN2', 'PIGR', 'CKB', 'AGR2', 'PI3', 'FCGBP', 'CLCA1', 'MUC2', 'OLFM4', 'PCP4', 'SORBS2', 'SPINK4', 'CA2', 'SLC26A3', 'TFF3', 'TSPAN1', 'CEACAM7', 'ITLN1', 'DMBT1', 'ZG16', 'MS4A12', 'CXCL8', 'KRT20', 'REG4', 'MT1F', 'MT1G', 'MT1X', 'DES', 'SOD2', 'RASSF3']"
DOCK10,"['CD74', 'VIM', 'LYZ', 'C1QC', 'IFI30', 'SRGN', 'CTSB', 'C1QB', 'TRAC', 'CD4', 'TRBC2', 'C1QA', 'LAPTM5', 'LSP1', 'RGS1', 'PSAP', 'LCP1', 'MMP12', 'A2M', 'MS4A6A', 'COL3A1', 'SPI1', 'CD2', 'ARHGDIB', 'CSF1R', 'IGKC', 'WIPF1', 'CD68', 'ITGA4', 'FCER1G']","['LCN2', 'PI3', 'CKB', 'TSPAN1', 'PIGR', 'CEACAM7', 'PCP4', 'AGR2', 'KRT20', 'SLC26A3', 'FCGBP', 'MS4A12', 'DUOX2', 'CLCA1', 'SORBS2', 'ZG16', 'KLF4', 'PLA2G2A', 'MUC2', 'DMBT1', 'MT1G', 'CA2', 'MT1F', 'CA4', 'SEMA3C', 'TFF3', 'SPINK4', 'CLCA4', 'ALDH1B1', 'REG4']"
SP110,"['VIM', 'CD74', 'CXCL10', 'SRGN', 'LYZ', 'LCP1', 'ISG15', 'TRBC2', 'TRAC', 'COL3A1', 'IFI30', 'MX1', 'C1QC', 'S100A9', 'OAS2', 'TRIM22', 'BST2', 'COL1A1', 'WIPF1', 'SPI1', 'SAMHD1', 'IFI44L', 'SPARC', 'LAPTM5', 'IFIT1', 'IFI16', 'LSP1', 'CTSB', 'CORO1A', 'TYMP']","['CKB', 'LCN2', 'PCP4', 'DES', 'PIGR', 'AGR2', 'PI3', 'MYH11', 'CLCA1', 'SYNPO2', 'SORBS2', 'SORBS1', 'HBB', 'PGM5', 'SYNM', 'MT1X', 'SPINK4', 'TSPAN1', 'KRT20', 'DTNA', 'ACTG2', 'RAB23', 'PLA2G2A', 'PLN', 'HBA2', 'MT1G', 'NCS1', 'CILP', 'PRUNE2', 'MT1H']"
SP100,"['VIM', 'CD74', 'COL3A1', 'SPARC', 'COL1A1', 'IGFBP7', 'CXCL10', 'SRGN', 'COL1A2', 'TRBC2', 'TRAC', 'BST2', 'ISG15', 'OAS2', 'LCP1', 'LYZ', 'IFI30', 'A2M', 'LGALS1', 'ENG', 'C1QC', 'COL6A2', 'IFI44', 'COL6A3', 'LSP1', 'WIPF1', 'IFI16', 'COL4A1', 'LUM', 'CCL5']","['LCN2', 'CKB', 'PIGR', 'CLCA1', 'AGR2', 'OLFM4', 'SPINK4', 'PI3', 'HBA2', 'ITLN1', 'DMBT1', 'PLA2G2A', 'TFF3', 'REG4', 'PCP4', 'MT1X', 'HBB', 'MT1G', 'PRSS1', 'PPBP', 'FCGBP', 'DGKB', 'CHGB', 'SORBS2', 'SPINK13', 'GRIK5', 'GPM6A', 'NPTX1', 'AOC3', 'AKAP6']"
ARMC9,"['COL3A1', 'COL1A1', 'COL1A2', 'AEBP1', 'MMP2', 'LUM', 'SPARC', 'GREM1', 'THBS2', 'SFRP4', 'COL5A1', 'DCN', 'TAGLN', 'THBS1', 'IGFBP3', 'COL6A3', 'VCAN', 'COL6A2', 'VIM', 'ELN', 'COL5A2', 'CCN2', 'LGALS1', 'CALD1', 'C3', 'TIMP2', 'CTHRC1', 'THY1', 'COMP', 'INHBA']","['LCN2', 'PI3', 'CEACAM7', 'TSPAN1', 'SLC26A3', 'PIGR', 'KRT20', 'CKB', 'JCHAIN', 'GUCA2A', 'CLCA4', 'PLAC8', 'CXCL8', 'DUOX2', 'MS4A12', 'CA4', 'HBB', 'SELENOP', 'S100A9', 'HBA2', 'KLF4', 'TFF3', 'S100A8', 'AGR2', 'ZG16', 'IL1RN', 'MXD1', 'MT1X', 'MZB1', 'CA2']"
ARL4C,"['COL1A1', 'COL3A1', 'COL1A2', 'CD74', 'VIM', 'SPARC', 'LUM', 'CTSB', 'MMP2', 'MMP12', 'COL5A1', 'COL6A3', 'C1QC', 'AEBP1', 'IFI30', 'LYZ', 'LGALS1', 'DCN', 'PSAP', 'CTHRC1', 'SRGN', 'C1QA', 'VCAN', 'TIMP2', 'TRAC', 'TRBC2', 'THBS2', 'RGS1', 'C1QB', 'SFRP4']","['FCGBP', 'LCN2', 'AGR2', 'MUC2', 'CLCA1', 'OLFM4', 'FABP1', 'TSPAN1', 'SPINK4', 'TFF3', 'PLA2G2A', 'CA2', 'ZG16', 'DES', 'KRT20', 'ITLN1', 'CEACAM7', 'SLC26A3', 'REG4', 'PI3', 'DMBT1', 'MS4A12', 'MYH11', 'MT1G', 'DUOX2', 'CA1', 'CA4', 'GUCA2A', 'SORBS2', 'MT1F']"
ACKR3,"['VIM', 'COL4A1', 'COL3A1', 'COL1A1', 'COL1A2', 'SPARC', 'IGFBP7', 'F3', 'COL5A1', 'COL4A2', 'COL6A3', 'COL6A2', 'VWF', 'ENG', 'CCN2', 'RGS5', 'A2M', 'MMP2', 'LGALS1', 'MCAM', 'VCAN', 'COL18A1', 'COL5A2', 'PECAM1', 'NOTCH3', 'IGFBP3', 'STC1', 'C11orf96', 'CCN1', 'TIMP1']","['LCN2', 'FABP1', 'FCGBP', 'PI3', 'MUC2', 'CLCA1', 'OLFM4', 'AGR2', 'TSPAN1', 'CKB', 'SPINK4', 'SLC26A3', 'KRT20', 'TFF3', 'DES', 'ZG16', 'CEACAM7', 'DUOX2', 'CA2', 'DMBT1', 'REG4', 'ITLN1', 'MS4A12', 'PLAC8', 'MT1X', 'CA1', 'CA4', 'REG1A', 'MT1G', 'CLCA4']"
COL6A3,"['COL3A1', 'COL1A1', 'COL1A2', 'MMP2', 'LUM', 'SPARC', 'COL5A1', 'COL6A2', 'VCAN', 'THBS2', 'DCN', 'AEBP1', 'C3', 'COL5A2', 'TIMP3', 'VIM', 'C1S', 'COL6A1', 'SFRP4', 'COL12A1', 'FBLN1', 'C1R', 'CTHRC1', 'TIMP2', 'SFRP2', 'IGFBP7', 'THY1', 'LGALS1', 'FN1', 'FSTL1']","['LCN2', 'PIGR', 'PI3', 'FCGBP', 'AGR2', 'TSPAN1', 'CKB', 'MUC2', 'OLFM4', 'CLCA1', 'SLC26A3', 'CEACAM7', 'KRT20', 'SPINK4', 'TFF3', 'CA2', 'DUOX2', 'MS4A12', 'ZG16', 'DMBT1', 'PCP4', 'PLAC8', 'ITLN1', 'REG4', 'SORBS2', 'MT1G', 'MT1X', 'GUCA2A', 'KLF4', 'MT1F']"
LRRFIP1,"['VIM', 'TAGLN', 'CD74', 'A2M', 'SPARCL1', 'MMP12', 'COL4A1', 'PECAM1', 'AQP1', 'ACTG2', 'IGFBP7', 'LYZ', 'COL4A2', 'LGALS1', 'DES', 'SRGN', 'CSRP1', 'CRIP1', 'TPM1', 'EMP1', 'CTSB', 'TPM2', 'ENG', 'CALD1', 'PSAP', 'MCAM', 'FLNA', 'MYL9', 'TNC', 'AHNAK']","['IGKC', 'SFRP2', 'HBA2', 'ITGBL1', 'MT1X', 'NFIX', 'GFPT2', 'LPAR1', 'CLCA1', 'PI16', 'MZB1', 'IGHM', 'ADH1B', 'C1QTNF3', 'C3', 'GAP43', 'SFRP1', 'ABCB5', 'SCN7A', 'CADM3', 'CRISPLD1', 'NTNG1', 'PLPP4', 'MT1G', 'COL11A1', 'PPBP', 'GPC3', 'GNAO1', 'MT1F', 'CNTNAP3B']"
RAMP1,"['DES', 'TAGLN', 'MYH11', 'ACTG2', 'MYL9', 'MYLK', 'CSRP1', 'TPM2', 'CNN1', 'SYNPO2', 'TNC', 'FLNA', 'CALD1', 'SYNM', 'TPM1', 'CHRDL2', 'ACTA2', 'PLN', 'PPP1R12B', 'LMOD1', 'SORBS1', 'COL6A2', 'CRYAB', 'SMTN', 'PRUNE2', 'GREM1', 'C1S', 'COL3A1', 'MAB21L2', 'ITGA5']","['FABP1', 'PIGR', 'PI3', 'FCGBP', 'AGR2', 'TSPAN1', 'MUC2', 'OLFM4', 'MMP12', 'CLCA1', 'JCHAIN', 'F3', 'CEACAM7', 'SPINK4', 'SLC26A3', 'CA2', 'KRT20', 'SOCS3', 'SGK1', 'TFF3', 'S100A9', 'APOBR', 'KLF4', 'DUOX2', 'ZG16', 'PLAC8', 'MS4A12', 'DMBT1', 'PLAUR', 'MT1X']"
HDAC4,"['TAGLN', 'DES', 'ACTG2', 'CSRP1', 'MYL9', 'TPM1', 'SYNM', 'CNN1', 'FLNA', 'MYH11', 'COL3A1', 'SYNPO2', 'MYLK', 'CALD1', 'COL1A1', 'MARCOL', 'COL6A2', 'ITGA5', 'ACTA2', 'C1S', 'TNS1', 'PLN', 'COL5A1', 'TNC', 'COL1A2', 'COL6A1', 'TPM2', 'COL6A3', 'PPP1R12B', 'HSPB8']","['PI3', 'KRT20', 'SLC26A3', 'LCN2', 'GUCA2A', 'TSPAN1', 'CEACAM7', 'TFF3', 'DAPK1', 'CLCA4', 'MXD1', 'PLAC8', 'SMCHD1', 'ZG16', 'SWAP70', 'NAMPT', 'FCGBP', 'PIGR', 'PURA', 'CD177', 'PLAUR', 'TMOD1', 'CA4', 'MKX', 'MT1G', 'SELENOP', 'PLEK', 'SPP1', 'CA2', 'MT1H']"
GPC1,"['COL3A1', 'COL1A1', 'COL1A2', 'SPARC', 'COL5A1', 'LUM', 'VCAN', 'COL6A3', 'COL6A2', 'MMP2', 'THBS2', 'TIMP3', 'VIM', 'AEBP1', 'MMP11', 'LGALS1', 'COL5A2', 'DCN', 'SFRP4', 'IGFBP7', 'COL12A1', 'COL6A1', 'IGFBP3', 'COL11A1', 'HTRA3', 'TIMP2', 'THY1', 'C1S', 'ISLR', 'FSTL1']","['FABP1', 'PIGR', 'PI3', 'FCGBP', 'AGR2', 'CKB', 'OLFM4', 'PLA2G2A', 'IGKC', 'TSPAN1', 'JCHAIN', 'CEACAM7', 'DUOX2', 'CLCA1', 'SOD2', 'SPINK4', 'KRT20', 'MUC2', 'TFF3', 'DMBT1', 'SLC26A3', 'IGHA1', 'CA2', 'DES', 'MS4A12', 'REG4', 'PLAC8', 'PCP4', 'IGHG1', 'IGHM']"
SNED1,"['COL3A1', 'COL1A1', 'MMP2', 'COL1A2', 'COL6A3', 'C3', 'LUM', 'SFRP2', 'DCN', 'SPARC', 'VIM', 'FBLN1', 'VCAN', 'C1S', 'COL6A2', 'COL5A1', 'AEBP1', 'SFRP4', 'THBS2', 'C1R', 'GREM1', 'MGP', 'TIMP3', 'COL6A1', 'SFRP1', 'CCDC80', 'TIMP2', 'CTHRC1', 'HTRA1', 'COL5A2']","['LCN2', 'PI3', 'PIGR', 'CKB', 'PCP4', 'AGR2', 'FCGBP', 'TSPAN1', 'DES', 'MUC2', 'CEACAM7', 'SORBS2', 'CLCA1', 'SLC26A3', 'KRT20', 'SPINK4', 'OLFM4', 'CXCL8', 'MYH11', 'TFF3', 'MS4A12', 'CA2', 'DMBT1', 'PLAC8', 'DUOX2', 'ZG16', 'PARM1', 'SLMAP', 'RASSF3', 'MT1G']"
CNTN6,"['SMOC2', 'DLG4', 'SOX10', 'ARHGAP29', 'ZNF106', 'HSPA6', 'ISLR', 'MARCOL', 'SMCHD1', 'BHLHE41', 'WDFY1', 'ACTN1', 'S100A13', 'COL6A3', 'PREX1', 'ADAMTS12', 'SASH3', 'DIXDC1', 'COL4A1', 'AP1S2', 'DLC1', 'PDE3A', 'PRELP', 'MMP23B', 'CUEDC1', 'MXRA7', 'DAAM2', 'PCDH7', 'ADAMTS9', 'TSPAN2']","['MYL6', 'PSAP', 'IGHG1', 'SELENOP', 'PIGR', 'LCN2', 'CALU', 'IGKC', 'IFI30', 'FN1', 'PI3', 'VIM', 'PEA15', 'FCGBP', 'ZFP36', 'CRIP1', 'SEPTIN11', 'EID1', 'JCHAIN', 'COL4A2', 'FSTL1', 'DUSP1', 'C12orf57', 'SAMHD1', 'DST', 'ATN1', 'TACC1', 'WSB1', 'STK38L', 'CKB']"
ITPR1,"['VIM', 'A2M', 'IGFBP7', 'COL4A1', 'TAGLN', 'PECAM1', 'CD74', 'COL3A1', 'LGALS1', 'CALD1', 'ENG', 'EPAS1', 'RGS5', 'NOTCH3', 'MYL9', 'SPARC', 'COL4A2', 'MCAM', 'SPARCL1', 'CSRP1', 'JAG1', 'ADAMTS1', 'COL6A2', 'COL6A1', 'LYZ', 'GJA5', 'ACTA2', 'HSPG2', 'AQP1', 'IFI30']","['PIGR', 'LCN2', 'FCGBP', 'PI3', 'MUC2', 'TSPAN1', 'AGR2', 'CLCA1', 'SLC26A3', 'KRT20', 'TFF3', 'CEACAM7', 'OLFM4', 'SPINK4', 'DUOX2', 'ZG16', 'CA2', 'REG4', 'CKB', 'DMBT1', 'MT1X', 'ITLN1', 'GUCA2A', 'MT1G', 'PLAC8', 'CLCA4', 'MS4A12', 'KLF4', 'CA4', 'PLA2G2A']"
LMCD1,"['COL1A1', 'COL3A1', 'COL1A2', 'VIM', 'SPARC', 'CCN2', 'THBS1', 'MMP2', 'TAGLN', 'AEBP1', 'CCN1', 'A2M', 'IGFBP7', 'COL5A1', 'GREM1', 'COL4A1', 'LUM', 'ACTA2', 'COL6A3', 'TIMP2', 'THBS2', 'COL6A2', 'TNC', 'LGALS1', 'CALD1', 'COL4A2', 'VCAN', 'FN1', 'ELN', 'C11orf96']","['LCN2', 'PIGR', 'PI3', 'FCGBP', 'CKB', 'AGR2', 'TSPAN1', 'SLC26A3', 'MUC2', 'CLCA1', 'KRT20', 'CEACAM7', 'PCP4', 'TFF3', 'SPINK4', 'OLFM4', 'CA2', 'PLA2G2A', 'MS4A12', 'ZG16', 'MT1G', 'PLAC8', 'ITLN1', 'DUOX2', 'REG4', 'APOBR', 'CA4', 'GUCA2A', 'SELENOP', 'DMBT1']"
