,Top_positvely_correlated,Top_negatively_correlated
SPSB1,"['COL3A1', 'COL1A1', 'COL1A2', 'SPARC', 'VIM', 'COL5A1', 'MMP2', 'LUM', 'COL6A3', 'AEBP1', 'COL6A2', 'THBS2', 'IGFBP7', 'LGALS1', 'VCAN', 'CCN2', 'COL12A1', 'COL5A2', 'TAGLN', 'TIMP3', 'DCN', 'SFRP4', 'TIMP2', 'CTHRC1', 'COL4A1', 'C1S', 'INHBA', 'IGFBP3', 'CALD1', 'ELN']","['LCN2', 'PI3', 'PIGR', 'FCGBP', 'AGR2', 'CKB', 'CLCA1', 'MUC2', 'TSPAN1', 'OLFM4', 'SPINK4', 'PCP4', 'SLC26A3', 'CEACAM7', 'TFF3', 'SORBS2', 'MT1F', 'SOD2', 'KRT20', 'KIZ', 'MS4A12', 'ITLN1', 'DMBT1', 'REG1A', 'PLAC8', 'ZG16', 'CA2', 'MT1G', 'MT1H', 'DUOX2']"
PIK3CD,"['CD74', 'SRGN', 'TRBC2', 'LYZ', 'VIM', 'TRAC', 'LCP1', 'LSP1', 'CD2', 'CCL5', 'IKZF1', 'WIPF1', 'TRBC1', 'IFI30', 'CORO1A', 'LAPTM5', 'EVL', 'ARHGDIB', 'IL7R', 'IGKC', 'CXCR4', 'LTB', 'SLA', 'RGS1', 'GZMA', 'GNLY', 'CD4', 'AIF1', 'C1QB', 'SPI1']","['LCN2', 'PIGR', 'CKB', 'PI3', 'FCGBP', 'TSPAN1', 'AGR2', 'CLCA1', 'MUC2', 'SPINK4', 'KRT20', 'CEACAM7', 'SLC26A3', 'OLFM4', 'PLA2G2A', 'TFF3', 'MS4A12', 'SORBS2', 'ZG16', 'MT1X', 'DMBT1', 'PCP4', 'DUOX2', 'ITLN1', 'MT1G', 'REG4', 'CA2', 'KLF4', 'INPP5A', 'PGM5']"
TNFRSF1B,"['SRGN', 'CD74', 'LYZ', 'IFI30', 'MMP12', 'C1QC', 'LAPTM5', 'CTSB', 'S100A9', 'LCP1', 'CD4', 'C1QB', 'SPI1', 'VIM', 'C1QA', 'TRBC2', 'TRAC', 'PSAP', 'TYROBP', 'LSP1', 'FCER1G', 'ARHGDIB', 'MPEG1', 'RGS1', 'CXCR4', 'CD14', 'CXCL8', 'MS4A6A', 'CORO1A', 'AIF1']","['FCGBP', 'CLCA1', 'FABP1', 'MUC2', 'AGR2', 'OLFM4', 'SPINK4', 'CA2', 'PLA2G2A', 'ITLN1', 'ZG16', 'TFF3', 'LCN2', 'PCP4', 'TSPAN1', 'ACTG2', 'MYH11', 'PPP1R12B', 'REG4', 'NFIX', 'DES', 'CKB', 'ALDH1B1', 'SORBS1', 'MT1G', 'SORBS2', 'CA1', 'PLN', 'MT1F', 'COMP']"
PRAMEF13,"['NLGN2', 'CCBE1', 'RABEP1', 'CELA2A', 'TRPS1', 'IL1A', 'S100A4', 'LRCH2', 'TSHZ2', 'CCL21', 'NT5E', 'PCOLCE', 'FAM49A', 'ITGBL1', 'UTRN', 'ROCK1', 'TAGAP', 'SYNC', 'ARHGEF1', 'CSF1', 'DMD', 'WIPF1', 'SEPTIN11', 'PLEK', 'GUCY1A1', 'VWA1', 'PRELP', 'BCL6', 'BIN2', 'NFIL3']","['SOD2', 'C1S', 'IFI30', 'TIMP1', 'CAPN2', 'HIPK3', 'ACTA2', 'DCN', 'LPP', 'PPP1R12B', 'NBL1', 'MGP', 'PI3', 'CALU', 'IGFBP5', 'MSN', 'OPTN', 'CXCL14', 'TGFBI', 'FSTL1', 'ANXA5', 'C12orf57', 'SAMHD1', 'DST', 'TGFBR1', 'GUK1', 'IGFBP4', 'LAMC1', 'MMP14', 'PLD3']"
PRAMEF18,"['AC025287.4', 'MYOC', 'RIPOR1', 'TUBB2A', 'TOR1AIP1', 'UTRN', 'SGCB', 'GUK1', 'RLN3', 'C12orf57', 'PLXDC1', 'DLG4', 'IGFBP7', 'GLIS2', 'COL6A1', 'OLFML2A', 'CD302', 'CTSG', 'TGFBR1', 'MYO1F', 'TCF4', 'MYO1C', 'CLEC4A', 'DCLK1', 'SPIRE1', 'CD248', 'INHBA', 'SFRP2', 'NCF4', 'CALD1']","['FABP1', 'CNN2', 'TIMP3', 'CNN1', 'JCHAIN', 'TACC1', 'DCN', 'TSPAN1', 'PI3', 'FN1', 'FCGBP', 'MACF1', 'PJA2', 'FHL2', 'IFI6', 'IGHM', 'IGFBP3', 'TPP1', 'RSU1', 'PARM1', 'CEACAM7', 'CKB', 'SP100', 'BMPR2', 'SYNPO2', 'SERPINF1', 'MGP', 'PPP1R18', 'C3', 'FOSL2']"
PDPN,"['COL1A1', 'COL3A1', 'COL1A2', 'MMP2', 'SPARC', 'LUM', 'COL5A1', 'COL6A3', 'VIM', 'COL6A2', 'AEBP1', 'VCAN', 'DCN', 'LGALS1', 'THBS2', 'COL12A1', 'F3', 'C1S', 'IGFBP7', 'COL5A2', 'C1R', 'SFRP4', 'COL6A1', 'TIMP2', 'PLAU', 'THY1', 'CTHRC1', 'FSTL1', 'TIMP1', 'CTSK']","['LCN2', 'PIGR', 'FCGBP', 'PI3', 'AGR2', 'CKB', 'TSPAN1', 'MUC2', 'CLCA1', 'OLFM4', 'SLC26A3', 'SPINK4', 'KRT20', 'CEACAM7', 'PCP4', 'CA2', 'ZG16', 'DES', 'PLA2G2A', 'TFF3', 'MS4A12', 'DUOX2', 'SORBS2', 'REG4', 'ITLN1', 'DMBT1', 'PLAC8', 'KLF4', 'GUCA2A', 'MT1G']"
PRDM2,"['COL3A1', 'COL1A2', 'COL1A1', 'TAGLN', 'VIM', 'SPARC', 'CALD1', 'COL5A1', 'LGALS1', 'C1R', 'MYL9', 'LUM', 'C1S', 'MMP2', 'CD74', 'COL6A2', 'COL6A3', 'COL6A1', 'CSRP1', 'TIMP3', 'IGFBP7', 'TIMP2', 'TPM1', 'VCAN', 'MYH11', 'CDH11', 'DES', 'WIPF1', 'DCN', 'AEBP1']","['LCN2', 'PI3', 'HBA2', 'CXCL8', 'TSPAN1', 'PIGR', 'ZG16', 'CA2', 'KRT20', 'HBB', 'SLC26A3', 'G0S2', 'OSM', 'CA4', 'CKB', 'CLCA4', 'KLF4', 'AQP9', 'MEP1A', 'FCGBP', 'FPR1', 'S100A9', 'FCAR', 'CHIT1', 'BMPR1A', 'IL1RN', 'RAB3C', 'MXD1', 'S100A8', 'PRSS1']"
CTRC,"['ABCA9', 'PIM1', 'MARCO', 'GREM2', 'ASXL3', 'HBB', 'IL1A', 'ADAMTS2', 'PI16', 'SACS', 'LDLRAD4', 'GADD45B', 'C20orf194', 'TBC1D1', 'PLEKHO2', 'HSPA1A', 'ANXA6', 'C8orf88', 'ST6GALNAC5', 'LIX1L', 'KIRREL1', 'ARHGAP15', 'AHNAK2', 'MYO1C', 'ODF3B', 'ITPR2', 'APOL2', 'PNMA6E', 'FGR', 'STMN2']","['LCN2', 'CKB', 'ITGB1', 'TGFBR1', 'FCGBP', 'DAPK3', 'FAM20C', 'SWAP70', 'CREBL2', 'MFAP2', 'TPM4', 'NBL1', 'MT2A', 'DPYSL3', 'CA2', 'SLC26A3', 'KIF1C', 'SHC1', 'DUSP22', 'TPP1', 'EPAS1', 'APOE', 'RNF11', 'SH3BGRL', 'RAB27A', 'TSPAN1', 'KLHL5', 'RASSF3', 'TWSG1', 'CRIM1']"
CELA2A,"['PI16', 'DCLK1', 'EPHA6', 'PRAMEF13', 'ADAMTS15', 'PTAFR', 'PEG3', 'PLPP1', 'PXDN', 'EOGT', 'RHOH', 'MAP4K4', 'SFRP1', 'PDE4D', 'MYO1F', 'ITGAX', 'ANGPTL1', 'CKB', 'PIK3R1', 'PIP4K2A', 'FOLR2', 'IL6', 'LITAF', 'MYH10', 'CPB1', 'CTSL', 'NNMT', 'MASP1', 'VCAN', 'CNN2']","['MSN', 'ANXA5', 'SRGN', 'DUSP1', 'ITGB5', 'CORO1C', 'TAB2', 'ARHGAP1', 'PLTP', 'CTSC', 'BTG1', 'COL12A1', 'ACTG2', 'SULF1', 'PALLD', 'RASSF3', 'COL5A1', 'GREM1', 'BACH1', 'SFRP2', 'ARRB2', 'OPTN', 'SERPINB6', 'PPP1R12A', 'RAB23', 'LYZ', 'SELENOM', 'RBPMS', 'ANTXR1', 'ITGB1']"
PLEKHM2,"['VIM', 'COL3A1', 'COL1A1', 'COL1A2', 'SPARC', 'CTSB', 'CD74', 'MMP12', 'LGALS1', 'IFI30', 'MMP2', 'PSAP', 'COL5A1', 'COL6A3', 'LYZ', 'COL6A2', 'COL4A1', 'C1QC', 'IGFBP7', 'TIMP1', 'VCAN', 'APOE', 'SRGN', 'LUM', 'CD68', 'COL6A1', 'C1QA', 'PLAU', 'COL12A1', 'C1QB']","['LCN2', 'PIGR', 'FCGBP', 'PI3', 'TSPAN1', 'AGR2', 'MUC2', 'OLFM4', 'ZG16', 'KRT20', 'CLCA1', 'SPINK4', 'CKB', 'SLC26A3', 'TFF3', 'DES', 'DUOX2', 'CA2', 'ITLN1', 'MS4A12', 'MT1H', 'DMBT1', 'CA4', 'CLCA4', 'CEACAM7', 'REG1A', 'HBA2', 'MEP1A', 'PLAC8', 'HBB']"
